Wavelength_nm_,N_15,N_14,N_13,N_12,N_11,N_10,N_9,N_8,N_7,N_6,N_5,N_4,N_3,N_2,N_1,N_0
1621.42857142857,0.156041412199503,0.150643511358538,0.179871938604822,0.176746476943855,0.210113424672061,0.220037249076931,0.245375919102014,0.25000158270732,0.264735272938069,0.249304428983899,0.252531518303629,0.221822040936744,0.218828178165348,0.172274441445774,0.141772025140432,0.066034902588377
1628.57142857143,0.15531406273824,0.152779106885762,0.179578363624829,0.177921609986243,0.21120996328141,0.219622347112382,0.245592844597513,0.246316161880484,0.261152532120122,0.240635650357508,0.242834332450653,0.213811680360132,0.213746787499338,0.16967840524545,0.141851674037761,0.0668279061333523
1635.71428571429,0.154270004021483,0.155159309782149,0.179116424239884,0.179678667505716,0.212025680654441,0.219372880130826,0.245409893174038,0.243133785740356,0.258017078603368,0.234055509007944,0.235731373745271,0.207466223345188,0.209709650880753,0.167332487991428,0.142134763778532,0.0681239204154746
1642.85714285714,0.15298246967727,0.157816080640955,0.178500167706141,0.181972797991096,0.212591332913353,0.219271725182331,0.244868019235948,0.240386676716671,0.255264596294976,0.22927821085052,0.230857708290517,0.202635154263765,0.206683046017717,0.165348374543581,0.142738228792345,0.0699600999950978
1650,0.151524657005739,0.160781506858416,0.17774365081157,0.184759265404324,0.212937739214989,0.219301777341523,0.244008252887372,0.238007372608254,0.25283104433923,0.226021693169987,0.227853839769462,0.199170301098933,0.204634060837898,0.163837619947957,0.143779125314148,0.0723738546907755
1657.14285714286,0.149969692172705,0.164087824378347,0.176860935111765,0.187993396024238,0.213095765106873,0.219445944202499,0.242871667972712,0.235928663913742,0.250652605088529,0.224006540502926,0.226364005729609,0.196925341729545,0.203530517954911,0.162911756932652,0.145374733565181,0.0754028978042065
1664.28571428571,0.14839060777074,0.167767441954776,0.175866082620673,0.191630529906399,0.213096308046131,0.219687141050962,0.241499353973316,0.234083541890133,0.248665641709865,0.222955093540154,0.226034788144704,0.19575536695264,0.203340903316055,0.162682431951862,0.147642691837397,0.0790852980491191
1671.42857142857,0.146860332707732,0.17185296799368,0.174773151957931,0.195625976889607,0.212970285098232,0.220008286710712,0.239932391790511,0.232405157173124,0.246806665292476,0.222590743020225,0.226514023661386,0.195516496933832,0.204034298683492,0.163261569997973,0.150701162922968,0.0834595353595988
1678.57142857143,0.14545169436761,0.176377240045934,0.173596194953766,0.199934977106261,0.212748622827237,0.220392300062644,0.238211833431406,0.230826788834117,0.245012311353576,0.222637403511001,0.227450004717078,0.196065548579978,0.205580317636649,0.164761568618366,0.154669033560358,0.0885645607817385
1685.71428571429,0.144237432984275,0.181373357036024,0.172349253711747,0.204512665977669,0.212462249384712,0.220822097235257,0.23637868560203,0.229281823780331,0.243219325662542,0.222819164201601,0.228490967051146,0.197259752014026,0.207949044815912,0.167295521833955,0.15966614785125,0.0944398606836649
1692.85714285714,0.143290228177556,0.186874714324775,0.171046358129113,0.209314043696756,0.212142088800938,0.221280589466358,0.234473897202637,0.227703746426811,0.241364559319438,0.222860115394372,0.229284862117181,0.198956514911366,0.211110978156926,0.170977474962925,0.165813575942046,0.10112552555351
1700,0.142682737619325,0.192915041719724,0.169701523873894,0.214293949219499,0.211819057479271,0.221750681636169,0.232538350712392,0.226026138582586,0.239384973031722,0.222484350318567,0.229479414583962,0.201013233939367,0.215036973891516,0.175922711709836,0.173233919664765,0.108662323692992
