Wavelength_nm_,x_gamma_60Nm,x_gamma_80Nm,x_gamma_100Nm,x_gamma_120Nm,x_gamma__infty
1439,0.171082990611379,0.163692602716844,0.163968451258415,0.165903450255922,0.188934490168558
1440,0.170990686472696,0.163661819584941,0.163966829663702,0.165916414604766,0.188944121490721
1441,0.170898799546774,0.163631325120976,0.163965333485274,0.165929407498574,0.188953860518055
1442,0.170807328965625,0.163601118724392,0.163963962462209,0.165942428877962,0.188963707026487
1443,0.170716273863668,0.163571199796298,0.16396271633431,0.165955478683707,0.188973660792564
1444,0.170625633377719,0.163541567739458,0.163961594842098,0.165968556856751,0.18898372159345
1445,0.170535406646982,0.163512221958293,0.163960597726815,0.1659816633382,0.188993889206929
1446,0.170445592813046,0.163483161858869,0.163959724730417,0.165994798069325,0.189004163411397
1447,0.17035619101987,0.163454386848896,0.163958975595574,0.166007960991555,0.189014543985864
1448,0.170267200413777,0.163425896337718,0.163958350065667,0.166021152046484,0.189025030709951
1449,0.170178620143449,0.163397689736312,0.163957847884785,0.166034371175865,0.189035623363885
1450,0.170090449359916,0.163369766457278,0.163957468797723,0.166047618321615,0.189046321728502
1451,0.170002687216547,0.163342125914834,0.163957212549979,0.166060893425807,0.18905712558524
1452,0.169915332869044,0.163314767524816,0.163957078887755,0.166074196430678,0.189068034716141
1453,0.169828385475434,0.163287690704664,0.163957067557947,0.166087527278619,0.189079048903845
1454,0.16974184419606,0.163260894873422,0.163957178308151,0.166100885912183,0.189090167931592
1455,0.169655708193572,0.163234379451734,0.163957410886655,0.166114272274081,0.189101391583217
1456,0.169569976632923,0.16320814386183,0.16395776504244,0.16612768630718,0.189112719643149
1457,0.169484648681355,0.163182187527531,0.163958240525174,0.166141127954503,0.189124151896408
1458,0.169399723508398,0.163156509874237,0.163958837085214,0.166154597159233,0.189135688128604
1459,0.169315200285857,0.163131110328922,0.163959554473601,0.166168093864705,0.189147328125936
1460,0.169231078187807,0.163105988320133,0.163960392442056,0.16618161801441,0.189159071675188
1461,0.169147356390583,0.163081143277978,0.163961350742983,0.166195169551995,0.189170918563728
1462,0.169064034072774,0.163056574634127,0.16396242912946,0.166208748421261,0.189182868579504
1463,0.168981110415217,0.163032281821803,0.163963627355244,0.166222354566162,0.189194921511047
1464,0.168898584600984,0.163008264275778,0.16396494517476,0.166235987930805,0.189207077147463
1465,0.168816455815378,0.162984521432365,0.163966382343109,0.16624964845945,0.189219335278435
1466,0.168734723245927,0.162961052729419,0.163967938616055,0.166263336096508,0.18923169569422
1467,0.168653386082372,0.162937857606323,0.163969613750032,0.166277050786544,0.189244158185647
1468,0.168572443516663,0.162914935503992,0.163971407502135,0.166290792474273,0.189256722544113
1469,0.168491894742951,0.162892285864861,0.163973319630122,0.166304561104559,0.189269388561586
1470,0.168411738957578,0.162869908132883,0.163975349892408,0.166318356622417,0.189282156030598
1471,0.168331975359073,0.162847801753522,0.163977498048069,0.166332178973013,0.189295024744247
1472,0.168252603148141,0.162825966173749,0.163979763856832,0.166346028101659,0.18930799449619
1473,0.168173621527659,0.162804400842039,0.163982147079077,0.166359903953819,0.189321065080647
1474,0.168095029702667,0.162783105208361,0.163984647475836,0.166373806475101,0.189334236292397
1475,0.168016826880361,0.162762078724177,0.163987264808786,0.166387735611265,0.189347507926773
1476,0.167939012270084,0.162741320842435,0.163989998840254,0.166401691308216,0.189360879779665
1477,0.167861585083323,0.162720831017564,0.163992849333209,0.166415673512002,0.189374351647514
1478,0.167784544533696,0.162700608705472,0.163995816051259,0.166429682168823,0.189387923327313
1479,0.167707889836949,0.162680653363535,0.163998898758653,0.166443717225021,0.189401594616604
1480,0.167631620210949,0.162660964450598,0.164002097220279,0.166457778627085,0.189415365313475
1481,0.167555734875674,0.162641541426967,0.164005411201659,0.166471866321644,0.18942923521656
1482,0.167480233053207,0.162622383754404,0.164008840468945,0.166485980255477,0.189443204125037
1483,0.167405113967731,0.162603490896124,0.164012384788924,0.166500120375504,0.189457271838627
1484,0.167330376845517,0.162584862316788,0.164016043929009,0.166514286628787,0.189471438157587
1485,0.167256020914922,0.162566497482498,0.16401981765724,0.16652847896253,0.189485702882716
1486,0.167182045406382,0.162548395860796,0.164023705742282,0.166542697324084,0.189500065815346
1487,0.1671084495524,0.162530556920654,0.164027707953422,0.166556941660936,0.189514526757345
1488,0.167035232587544,0.162512980132472,0.164031824060566,0.166571211920717,0.189529085511114
1489,0.166962393748438,0.162495664968072,0.16403605383424,0.166585508051199,0.189543741879585
1490,0.166889932273754,0.162478610900695,0.164040397045585,0.166599830000291,0.189558495666217
1491,0.166817847404208,0.162461817404996,0.164044853466357,0.166614177716048,0.189573346674997
1492,0.166746138382551,0.162445283957037,0.164049422868922,0.166628551146656,0.189588294710441
1493,0.166674804453563,0.162429010034283,0.164054105026258,0.166642950240447,0.189603339577583
1494,0.166603844864046,0.162412995115599,0.164058899711949,0.166657374945887,0.189618481081983
1495,0.166533258862815,0.162397238681246,0.164063806700185,0.166671825211583,0.18963371902972
1496,0.166463045700699,0.162381740212872,0.164068825765762,0.166686300986276,0.189649053227392
1497,0.166393204630524,0.162366499193511,0.164073956684075,0.166700802218847,0.189664483482113
1498,0.166323734907112,0.162351515107577,0.16407919923112,0.166715328858312,0.189680009601511
1499,0.166254635787274,0.162336787440862,0.164084553183491,0.166729880853823,0.189695631393732
1500,0.166185906529804,0.162322315680527,0.164090018318377,0.166744458154668,0.189711348667427
1501,0.166117546395469,0.162308099315099,0.164095594413561,0.16675906071027,0.189727161231762
1502,0.166049554647005,0.16229413783447,0.164101281247419,0.166773688470188,0.18974306889641
1503,0.165981930549114,0.162280430729886,0.164107078598914,0.166788341384112,0.189759071471548
1504,0.165914673368447,0.16226697749395,0.164112986247599,0.166803019401869,0.189775168767862
1505,0.165847782373609,0.16225377762061,0.164119003973613,0.166817722473417,0.189791360596538
1506,0.165781256835147,0.162240830605161,0.164125131557679,0.166832450548849,0.189807646769264
1507,0.165715096025542,0.162228135944235,0.164131368781101,0.16684720357839,0.189824027098229
