Wavelength_nm_,x_gamma__infty_N__SWG__14,x_gamma__infty_N__SWG__10,x_gamma__infty_N__SWG__6,x_gamma__infty_N__SWG__2,x_gamma_120_N__SWG__14,x_gamma_120_N__SWG__10,x_gamma_120_N__SWG__6,x_gamma_120_N__SWG__2,x_gamma_100_N__SWG__14,x_gamma_100_N__SWG__10,x_gamma_100_N__SWG__6,x_gamma_100_N__SWG__2,x_gamma_80_N__SWG__14,x_gamma_80_N__SWG__10,x_gamma_80_N__SWG__6,x_gamma_80_N__SWG__2,x_gamma_60_N__SWG__14,x_gamma_60_N__SWG__10,x_gamma_60_N__SWG__6,x_gamma_60_N__SWG__2
1.441,3.32424993639733,2.37446424028381,1.42467854417028,0.474892848056761,2.91918260262736,2.08513043044811,1.25107825826887,0.417026086089623,2.88462880787612,2.06044914848294,1.23626948908977,0.412089829696589,2.87875262582444,2.05625187558888,1.23375112535333,0.411250375117777,3.00660871371537,2.14757765265383,1.2885465915923,0.429515530530767
1.442,3.32442316522123,2.37458797515802,1.42475278509481,0.474917595031604,2.91941168669837,2.08529406192741,1.25117643715645,0.417058812385482,2.88460468757859,2.06043191969899,1.2362591518194,0.412086383939799,2.87822120714029,2.05587229081449,1.23352337448869,0.411174458162898,3.00499947920313,2.14642819943081,1.28785691965849,0.429285639886162
1.443,3.32459828102018,2.37471305787155,1.42482783472293,0.474942611574311,2.91964127087198,2.08545805062284,1.2512748303737,0.417091610124568,2.88458276455157,2.06041626039398,1.23624975623639,0.412083252078796,2.87769484586593,2.05549631847567,1.2332977910854,0.411099263695133,3.00339755418261,2.14528396727329,1.28717038036398,0.429056793454659
1.444,3.32477527987383,2.37483948562417,1.4249036913745,0.474967897124833,2.91987135410918,2.08562239579227,1.25137343747536,0.417124479158454,2.88456303423009,2.06040216730721,1.23624130038432,0.412080433461442,2.87717353149429,2.05512395106735,1.23307437064041,0.41102479021347,3.00180292346786,2.14414494533419,1.28648696720051,0.428828989066837
1.445,3.32495415787277,2.37496725562341,1.42498035337404,0.474993451124681,2.92010193537387,2.08578709669562,1.25147225801737,0.417157419339124,2.88454549206181,2.06038963718701,1.23623378231221,0.412077927437402,2.87665725354737,2.05475518110527,1.23285310866316,0.410951036221053,3.000215571915,2.14301112279643,1.28580667367786,0.428602224559286
1.446,3.32513491111833,2.37509636508452,1.42505781905071,0.475019273016904,2.92033301363279,2.08595215259485,1.25157129155691,0.41719043051897,2.88453013350702,2.06037866679073,1.23622720007444,0.412075733358146,2.87614600157614,2.05439000112582,1.23263400067549,0.410878000225163,2.99863548442205,2.14188248887289,1.28512949332374,0.428376497774579
1.447,3.32531753572264,2.37522681123046,1.42513608673828,0.475045362246092,2.92056458785555,2.08611756275396,1.25167053765238,0.417223512550792,2.88451695403852,2.06036925288466,1.23622155173079,0.412073850576931,2.87563976516049,2.05402840368606,1.23241704221164,0.410805680737213,2.99706264592875,2.14075903280625,1.28445541968375,0.42815180656125
1.448,3.32550202780862,2.37535859129187,1.42521515477512,0.475071718258374,2.92079665701459,2.08628332643899,1.2517699958634,0.417256665287799,2.88450594914162,2.06036139224402,1.23621683534641,0.412072278448803,2.87513853390906,2.05367038136361,1.23220222881817,0.410734076272722,2.99549704141645,2.13964074386889,1.28378444632133,0.427928148773778
1.449,3.32568838350978,2.37549170250699,1.42529502150419,0.475098340501398,2.9210292200852,2.086449442918,1.2518696657508,0.417289888583599,2.88449711431411,2.06035508165294,1.23621304899176,0.412071016330588,2.8746422974592,2.05331592675657,1.23198955605394,0.410663185351314,2.99393865590797,2.13852761136283,1.2831165668177,0.427705522272567
1.45,3.32587659897043,2.37562614212173,1.42537568527304,0.475125228424347,2.9212622760455,2.08661591146107,1.25196954687664,0.417323182292214,2.88449044506619,2.06035031790442,1.23621019074265,0.412070063580884,2.87415104547683,2.05296503248345,1.23177901949007,0.410593006496691,2.99238747446744,2.1374196246196,1.28245177477176,0.42748392492392
