Wavelength_nm_,m
1501.376,-0.0747726099603188
1501.38,-0.074772573629242
1501.384,-0.0747725375246266
1501.388,-0.0747725016463516
1501.392,-0.0747724659940566
1501.396,-0.0747724305676778
1501.4,-0.0747723953669127
1501.404,-0.0747723603918488
1501.408,-0.0747723256422868
1501.412,-0.074772291118121
1501.416,-0.0747722568192289
1501.42,-0.0747722227453822
1501.424,-0.0747721888965315
1501.428,-0.0747721552724263
1501.432,-0.0747721218729929
1501.436,-0.0747720886981576
1501.44,-0.0747720557474871
1501.444,-0.0747720230206714
1501.448,-0.0747719905173066
1501.452,-0.0747719582369802
1501.456,-0.0747719261794099
1501.46,-0.0747718943443033
1501.464,-0.0747718627312994
1501.468,-0.0747718313398198
1501.472,-0.0747718001698284
1501.476,-0.0747717692209097
1501.48,-0.074771738492806
1501.484,-0.0747717079849327
1501.488,-0.0747716776969423
1501.492,-0.0747716476285123
1501.496,-0.0747716177790888
1501.5,-0.0747715881483872
1501.504,-0.0747715587357145
1501.508,-0.0747715295408463
1501.512,-0.0747715005631387
1501.516,-0.0747714718022845
1501.52,-0.0747714432577553
1501.524,-0.0747714149291948
1501.528,-0.0747713868160517
1501.532,-0.0747713589176159
1501.536,-0.074771331233604
1501.54,-0.0747713037636409
1501.544,-0.0747712765072358
1501.548,-0.0747712494641329
1501.552,-0.0747712226337476
1501.556,-0.0747711960156379
1501.56,-0.0747711696094324
1501.564,-0.0747711434147571
1501.568,-0.0747711174313624
1501.572,-0.0747710916589476
1501.576,-0.0747710660968853
1501.58,-0.0747710407450599
1501.584,-0.0747710156027791
1501.588,-0.0747709906696005
1501.592,-0.0747709659451318
1501.596,-0.0747709414289857
1501.6,-0.0747709171206466
1501.604,-0.0747708930197724
1501.608,-0.0747708691259537
1501.612,-0.0747708454391856
1501.616,-0.0747708219587566
1501.62,-0.0747707986844377
1501.624,-0.0747707756161274
1501.628,-0.0747707527534111
1501.632,-0.0747707300960296
1501.636,-0.0747707076433652
1501.64,-0.0747706853952923
1501.644,-0.0747706633514816
1501.648,-0.0747706415116582
1501.652,-0.0747706198754579
1501.656,-0.0747705984424409
1501.66,-0.0747705772122906
1501.664,-0.0747705561845541
1501.668,-0.0747705353590449
1501.672,-0.0747705147350538
1501.676,-0.0747704943124099
1501.68,-0.0747704740908131
1501.684,-0.0747704540698752
1501.688,-0.0747704342493425
1501.692,-0.0747704146287513
1501.696,-0.0747703952077001
1501.7,-0.0747703759858672
1501.704,-0.0747703569629536
1501.708,-0.0747703381388488
1501.712,-0.0747703195127496
1501.716,-0.0747703010840777
1501.72,-0.074770282852637
1501.724,-0.0747702648179571
1501.728,-0.0747702469794565
1501.732,-0.0747702293367193
1501.736,-0.0747702118892894
1501.74,-0.0747701946365761
1501.744,-0.0747701775781132
1501.748,-0.074770160713508
1501.752,-0.074770144042276
1501.756,-0.0747701275641509
1501.76,-0.0747701112784187
1501.764,-0.074770095184935
1501.768,-0.0747700792830944
1501.772,-0.0747700635725539
1501.776,-0.0747700480529303
1501.78,-0.0747700327237246
1501.784,-0.0747700175847301
1501.788,-0.0747700026356387
1501.792,-0.0747699878759484
1501.796,-0.0747699733052637
1501.8,-0.0747699589233942
1501.804,-0.0747699447300262
