Wavelength_nm_,m
1501.964,-0.0747854831527784
1501.968,-0.0747856379935673
1501.972,-0.0747857933822739
1501.976,-0.0747859493183327
1501.98,-0.0747861058010611
1501.984,-0.0747862628300834
1501.988,-0.0747864204043978
1501.992,-0.0747865785235187
1501.996,-0.0747867371866388
1502,-0.0747868963931853
1502.004,-0.074787056142587
1502.008,-0.0747872164340111
1502.012,-0.0747873772667994
1502.016,-0.0747875386403757
1502.02,-0.0747877005538641
1502.024,-0.0747878630066722
1502.028,-0.0747880259979626
1502.032,-0.0747881895273304
1502.036,-0.0747883535944022
1502.04,-0.0747885181985422
1502.044,-0.0747886833390571
1502.048,-0.0747888490152949
1502.052,-0.0747890152267503
1502.056,-0.0747891819727746
1502.06,-0.0747893492528486
1502.064,-0.0747895170663167
1502.068,-0.0747896854127498
1502.072,-0.0747898542914773
1502.076,-0.0747900237016254
1502.08,-0.0747901936427249
1502.084,-0.0747903641144677
1502.088,-0.0747905351157016
1502.092,-0.0747907066460766
1502.096,-0.0747908787050228
1502.1,-0.0747910512917378
1502.104,-0.0747912244057227
1502.108,-0.0747913980464232
1502.112,-0.0747915722133441
1502.116,-0.0747917469059836
1502.12,-0.0747919221239345
1502.124,-0.0747920978664695
1502.128,-0.0747922741329853
1502.132,-0.0747924509228744
1502.136,-0.0747926282353471
1502.14,-0.074792806069897
1502.144,-0.0747929844260277
1502.148,-0.0747931633032028
1502.152,-0.0747933427008438
1502.156,-0.0747935226184188
1502.16,-0.0747937030552465
1502.164,-0.0747938840107386
1502.168,-0.0747940654844766
1502.172,-0.0747942474758549
1502.176,-0.0747944299842839
1502.18,-0.0747946130093359
1502.184,-0.074794796550591
1502.188,-0.0747949806072953
1502.192,-0.0747951651789908
1502.196,-0.0747953502654575
1502.2,-0.0747955358660401
1502.204,-0.0747957219804956
1502.208,-0.0747959086081315
1502.212,-0.0747960957486079
1502.216,-0.0747962834013477
1502.22,-0.0747964715659301
1502.224,-0.0747966602420816
1502.228,-0.0747968494294742
1502.232,-0.0747970391275064
1502.236,-0.0747972293358808
1502.24,-0.074797420054637
1502.244,-0.0747976112832771
1502.248,-0.0747978030215312
1502.252,-0.0747979952689933
1502.256,-0.074798188025212
1502.26,-0.0747983812899664
1502.264,-0.0747985750628926
1502.268,-0.0747987693439265
1502.272,-0.0747989641326086
1502.276,-0.0747991594289415
1502.28,-0.0747993552325915
1502.284,-0.0747995515432989
1502.288,-0.0747997483608144
1502.292,-0.0747999456851369
1502.296,-0.0748001435159103
1502.3,-0.0748003418526238
1502.304,-0.0748005406952523
1502.308,-0.0748007400434997
1502.312,-0.0748009398972283
1502.316,-0.0748011402560451
1502.32,-0.0748013411199162
1502.324,-0.0748015424884016
1502.328,-0.0748017443616526
1502.332,-0.074801946739212
1502.336,-0.0748021496209706
1502.34,-0.0748023530066924
1502.344,-0.0748025568962441
1502.348,-0.0748027612894003
1502.352,-0.0748029661857982
1502.356,-0.0748031715853305
1502.36,-0.074803377487864
1502.364,-0.074803583893025
1502.368,-0.0748037908002087
1502.372,-0.0748039982089853
1502.376,-0.0748042061194675
1502.38,-0.074804414531187
1502.384,-0.074804623443863
1502.388,-0.0748048328571254
1502.392,-0.074805042770925
1502.396,-0.0748052531849774
1502.4,-0.0748054640986454
1502.404,-0.0748056755117848
1502.408,-0.0748058874237215
1502.412,-0.074806099834199
1502.416,-0.0748063127429414
1502.42,-0.0748065261495696
1502.424,-0.0748067400537057
1502.428,-0.0748069544552216
1502.432,-0.0748071693535595
1502.436,-0.0748073847483224
1502.44,-0.0748076006392322
1502.444,-0.0748078170257412
1502.448,-0.0748080339076492
1502.452,-0.0748082512845371
1502.456,-0.0748084691557378
1502.46,-0.0748086875209049
1502.464,-0.0748089063797057
1502.468,-0.0748091257315339
1502.472,-0.0748093455761226
1502.476,-0.074809565913004
1502.48,-0.0748097867419108
1502.484,-0.0748100080622722
1502.488,-0.074810229873759
1502.492,-0.0748104521761124
1502.496,-0.0748106749688025
1502.5,-0.0748108982512724
1502.504,-0.0748111220233327
1502.508,-0.0748113462844163
1502.512,-0.0748115710343308
1502.516,-0.0748117962727709
1502.52,-0.0748120219990865
1502.524,-0.0748122482127791
1502.528,-0.074812474913715
1502.532,-0.0748127021012564
1502.536,-0.0748129297748928
1502.54,-0.0748131579340519
1502.544,-0.0748133865784381
1502.548,-0.0748136157076018
1502.552,-0.0748138453211249
1502.556,-0.0748140754186643
1502.56,-0.0748143059996331
1502.564,-0.0748145370636946
1502.568,-0.0748147686103731
1502.572,-0.0748150006393534
1502.576,-0.0748152331497349
1502.58,-0.0748154661415305
1502.584,-0.0748156996141773
1502.588,-0.0748159335672665
1502.592,-0.0748161680004099
1502.596,-0.0748164029131839
1502.6,-0.0748166383050819
1502.604,-0.0748168741756255
1502.608,-0.0748171105243917
1502.612,-0.0748173473509245
1502.616,-0.0748175846547067
1502.62,-0.0748178224352891
1502.624,-0.0748180606921085
1502.628,-0.0748182994248048
1502.632,-0.074818538632967
1502.636,-0.0748187783158541
1502.64,-0.0748190184731927
1502.644,-0.0748192591041918
1502.648,-0.0748195002083237
1502.652,-0.0748197417851816
1502.656,-0.0748199838342805
1502.66,-0.0748202263552088
1502.664,-0.0748204693474545
1502.668,-0.0748207128104863
1502.672,-0.0748209567437654
1502.676,-0.074821201147006
1502.68,-0.0748214460195011
1502.684,-0.0748216913610742
1502.688,-0.0748219371711287
1502.692,-0.074822183449126
1502.696,-0.0748224301942937
1502.7,-0.0748226774059405
1502.704,-0.0748229250836323
1502.708,-0.0748231732267006
1502.712,-0.0748234218347662
1502.716,-0.0748236709071369
1502.72,-0.0748239204433243
1502.724,-0.0748241704428144
1502.728,-0.0748244209054421
1502.732,-0.0748246718304989
1502.736,-0.0748249232176539
1502.74,-0.0748251750664132
1502.744,-0.0748254273761974
1502.748,-0.0748256801466337
1502.752,-0.0748259333774657
1502.756,-0.0748261870681875
1502.76,-0.0748264412183001
1502.764,-0.0748266958273777
1502.768,-0.0748269508948149
1502.772,-0.074827206420083
1502.776,-0.074827462402599
1502.78,-0.0748277188422083
1502.784,-0.0748279757385595
1502.788,-0.074828233091085
1502.792,-0.074828490899383
